real,imag
1.125405e+01,-6.610171e+01
1.119580e+01,-6.349486e+01
1.078992e+01,-6.341477e+01
1.037090e+01,-5.902111e+01
1.035788e+01,-6.085872e+01
9.948885e+00,-5.834170e+01
9.680952e+00,-5.490341e+01
9.527839e+00,-5.604682e+01
9.127393e+00,-5.376523e+01
8.733839e+00,-5.151231e+01
8.350219e+00,-4.930779e+01
7.980244e+00,-4.717551e+01
7.860209e+00,-4.457746e+01
7.692449e+00,-4.362604e+01
7.635207e+00,-4.514446e+01
7.364995e+00,-4.331330e+01
7.221907e+00,-4.202553e+01
6.893693e+00,-4.069996e+01
6.726137e+00,-3.819112e+01
6.564925e+00,-3.898950e+01
6.496519e+00,-3.684359e+01
6.259973e+00,-3.550207e+01
6.255277e+00,-3.722916e+01
5.977965e+00,-3.556584e+01
5.824171e+00,-3.303051e+01
5.733104e+00,-3.402039e+01
5.504538e+00,-3.259690e+01
5.270983e+00,-3.122766e+01
5.193780e+00,-2.945539e+01
5.034700e+00,-2.986607e+01
4.815378e+00,-2.854741e+01
4.717044e+00,-2.747204e+01
4.645020e+00,-2.689722e+01
4.641275e+00,-2.668375e+01
4.489429e+00,-2.546082e+01
4.378738e+00,-2.483306e+01
4.331603e+00,-2.574977e+01
4.127511e+00,-2.459389e+01
3.941507e+00,-2.347383e+01
3.774964e+00,-2.243071e+01
3.741674e+00,-2.122009e+01
3.626689e+00,-2.149589e+01
3.566785e+00,-2.022824e+01
3.496947e+00,-1.985875e+01
3.474123e+00,-2.063494e+01
3.398304e+00,-1.927274e+01
3.320557e+00,-1.977174e+01
3.269615e+00,-1.906057e+01
3.234269e+00,-1.834245e+01
3.150584e+00,-1.865548e+01
3.063872e+00,-1.737608e+01
2.965769e+00,-1.787988e+01
2.902290e+00,-1.645970e+01
2.822568e+00,-1.706753e+01
2.695740e+00,-1.529028e+01
2.695383e+00,-1.629888e+01
2.586843e+00,-1.558942e+01
2.499923e+00,-1.496638e+01
2.416469e+00,-1.441282e+01
2.407793e+00,-1.365527e+01
2.407668e+00,-1.400376e+01
2.287325e+00,-1.365399e+01
2.176142e+00,-1.307373e+01
2.140832e+00,-1.214145e+01
2.088746e+00,-1.248978e+01
2.029828e+00,-1.151173e+01
2.013656e+00,-1.194992e+01
1.955875e+00,-1.109232e+01
1.950197e+00,-1.146960e+01
1.904044e+00,-1.107288e+01
1.876154e+00,-1.080320e+01
1.820304e+00,-1.054057e+01
1.760590e+00,-9.984802e+00
1.753139e+00,-1.016085e+01
1.741421e+00,-9.876123e+00
1.734429e+00,-9.836438e+00
1.687654e+00,-9.745855e+00
1.623052e+00,-9.348473e+00
1.562243e+00,-8.992168e+00
1.519434e+00,-8.712230e+00
1.499159e+00,-8.502151e+00
1.492460e+00,-8.552495e+00
1.444360e+00,-8.191434e+00
1.440923e+00,-8.323703e+00
1.390118e+00,-7.883750e+00
1.384105e+00,-8.045805e+00
1.322931e+00,-7.741802e+00
1.264884e+00,-7.432469e+00
1.221613e+00,-7.003804e+00
1.221174e+00,-7.151899e+00
1.217357e+00,-6.904375e+00
1.172977e+00,-6.861165e+00
1.132874e+00,-6.650374e+00
1.124902e+00,-6.379635e+00
1.090029e+00,-6.431520e+00
1.045690e+00,-6.199931e+00
1.040136e+00,-5.898941e+00
1.014790e+00,-5.804660e+00
1.005189e+00,-5.966372e+00
9.708323e-01,-5.726852e+00
9.418903e-01,-5.547320e+00
9.120726e-01,-5.383809e+00
9.002336e-01,-5.105480e+00
8.936459e-01,-5.068119e+00
8.788374e-01,-5.210464e+00
8.540121e-01,-4.882707e+00
8.466283e-01,-5.031325e+00
8.185865e-01,-4.841684e+00
7.910079e-01,-4.680440e+00
7.733200e-01,-4.547473e+00
7.472198e-01,-4.419038e+00
7.297551e-01,-4.164801e+00
7.219759e-01,-4.279003e+00
7.072077e-01,-4.010829e+00
6.989449e-01,-4.131302e+00
6.742913e-01,-3.996723e+00
6.595188e-01,-3.877304e+00
6.432894e-01,-3.780758e+00
6.310302e-01,-3.593481e+00
6.213638e-01,-3.672394e+00
6.019753e-01,-3.553569e+00
5.824892e-01,-3.444719e+00
5.676721e-01,-3.341530e+00
5.578105e-01,-3.259711e+00
5.538231e-01,-3.178044e+00
5.451885e-01,-3.175736e+00
5.225392e-01,-3.083236e+00
5.078248e-01,-2.992433e+00
4.947330e-01,-2.907551e+00
4.864487e-01,-2.836232e+00
4.736825e-01,-2.774312e+00
4.589295e-01,-2.699104e+00
4.480830e-01,-2.625200e+00
4.411549e-01,-2.565664e+00
4.308979e-01,-2.513841e+00
4.176620e-01,-2.451171e+00
4.051041e-01,-2.381812e+00
3.939801e-01,-2.313557e+00
3.835938e-01,-2.249553e+00
3.730167e-01,-2.187921e+00
3.624446e-01,-2.126636e+00
3.524862e-01,-2.066817e+00
3.426804e-01,-2.009135e+00
3.326172e-01,-1.951774e+00
3.225891e-01,-1.894177e+00
3.127334e-01,-1.836901e+00
3.031304e-01,-1.780494e+00
2.937590e-01,-1.725319e+00
2.845195e-01,-1.671228e+00
2.754173e-01,-1.618001e+00
2.664774e-01,-1.565655e+00
2.576852e-01,-1.514199e+00
2.490285e-01,-1.463575e+00
2.405189e-01,-1.413768e+00
2.321658e-01,-1.364821e+00
2.239683e-01,-1.316758e+00
2.159243e-01,-1.269585e+00
2.080311e-01,-1.223294e+00
2.002883e-01,-1.177876e+00
1.926964e-01,-1.133329e+00
1.852553e-01,-1.089657e+00
1.779648e-01,-1.046856e+00
1.708250e-01,-1.004929e+00
1.638359e-01,-9.638761e-01
1.569972e-01,-9.236971e-01
1.503089e-01,-8.843922e-01
1.437708e-01,-8.459610e-01
1.373827e-01,-8.084036e-01
1.311447e-01,-7.717198e-01
1.250565e-01,-7.359097e-01
1.191181e-01,-7.009732e-01
1.133294e-01,-6.669103e-01
1.076902e-01,-6.337209e-01
1.022006e-01,-6.014050e-01
9.686037e-02,-5.699626e-01
9.166944e-02,-5.393936e-01
9.107713e-02,-5.165243e-01
8.662773e-02,-5.096979e-01
8.173513e-02,-4.808756e-01
