point real,point imag,potential real,potential imag
3.890342e+00,2.246090e+00,2.477739e-02,-4.291571e-02
3.897114e+00,2.250000e+00,2.469136e-02,-4.276669e-02
3.903886e+00,2.253910e+00,2.460577e-02,-4.261844e-02
3.919507e+00,2.262928e+00,2.441004e-02,-4.227942e-02
3.943194e+00,2.276604e+00,2.411765e-02,-4.177300e-02
3.973838e+00,2.294297e+00,2.374712e-02,-4.113122e-02
4.010006e+00,2.315178e+00,2.332068e-02,-4.039260e-02
4.050007e+00,2.338273e+00,2.286229e-02,-3.959865e-02
4.091970e+00,2.362500e+00,2.239579e-02,-3.879065e-02
4.133933e+00,2.386727e+00,2.194342e-02,-3.800713e-02
4.173934e+00,2.409822e+00,2.152485e-02,-3.728214e-02
4.210102e+00,2.430703e+00,2.115661e-02,-3.664432e-02
4.240746e+00,2.448396e+00,2.085195e-02,-3.611664e-02
4.264433e+00,2.462072e+00,2.062095e-02,-3.571653e-02
4.280054e+00,2.471090e+00,2.047071e-02,-3.545630e-02
4.286826e+00,2.475000e+00,2.040608e-02,-3.534437e-02
4.293598e+00,2.478910e+00,2.034176e-02,-3.523296e-02
4.309218e+00,2.487928e+00,2.019456e-02,-3.497800e-02
4.332905e+00,2.501604e+00,1.997436e-02,-3.459661e-02
4.363550e+00,2.519297e+00,1.969479e-02,-3.411238e-02
4.399718e+00,2.540178e+00,1.937232e-02,-3.355384e-02
4.439719e+00,2.563273e+00,1.902481e-02,-3.295194e-02
4.481681e+00,2.587500e+00,1.867021e-02,-3.233776e-02
4.523644e+00,2.611727e+00,1.832544e-02,-3.174059e-02
4.563645e+00,2.634822e+00,1.800560e-02,-3.118661e-02
4.599813e+00,2.655703e+00,1.772356e-02,-3.069810e-02
4.630458e+00,2.673396e+00,1.748974e-02,-3.029312e-02
4.654145e+00,2.687072e+00,1.731217e-02,-2.998556e-02
4.669765e+00,2.696090e+00,1.719654e-02,-2.978529e-02
4.676537e+00,2.700000e+00,1.714678e-02,-2.969909e-02
4.683309e+00,2.703910e+00,1.709722e-02,-2.961326e-02
4.698930e+00,2.712928e+00,1.698374e-02,-2.941670e-02
